iter	Passed	Remaining
534	28047	24377
535	28101	24326
536	28163	24282
537	28220	24233
538	28281	24188
539	28340	24142
540	28400	24095
541	28469	24056
542	28545	24024
543	28611	23983
544	28674	23939
545	28733	23891
546	28794	23846
547	28859	23803
548	28917	23755
549	28978	23709
550	29043	23666
551	29109	23625
552	29180	23587
553	29255	23552
554	29317	23506
555	29376	23458
556	29432	23408
557	29490	23359
558	29548	23310
559	29608	23263
560	29662	23211
561	29720	23162
562	29775	23111
563	29830	23060
564	29883	23007
565	29941	22958
566	29998	22908
567	30056	22859
568	30110	22807
569	30167	22757
570	30219	22704
571	30275	22653
572	30329	22601
573	30385	22550
574	30441	22500
575	30500	22451
576	30551	22397
577	30608	22347
578	30665	22297
579	30742	22262
580	30828	22232
581	30900	22193
582	30959	22144
583	31019	22096
584	31081	22049
585	31138	21999
586	31198	21950
587	31251	21897
588	31304	21844
589	31360	21792
590	31417	21742
591	31472	21690
592	31528	21639
593	31590	21592
594	31646	21540
595	31704	21491
596	31768	21445
597	31826	21395
598	31889	21348
599	31950	21300
600	32010	21251
601	32072	21204
602	32137	21158
603	32195	21108
604	32251	21057
605	32303	21002
606	32361	20952
607	32420	20902
608	32482	20854
609	32542	20805
610	32596	20753
611	32651	20700
612	32705	20647
613	32760	20595
614	32818	20545
615	32875	20493
616	32929	20441
617	32986	20389
618	33044	20339
619	33098	20286
620	33154	20234
621	33210	20182
622	33265	20130
623	33294	20061
624	33346	20008
625	33405	19957
626	33462	19906
627	33519	19855
628	33575	19803
629	33631	19751
630	33687	19700
631	33775	19666
632	33851	19626
633	33910	19576
634	33965	19523
635	34024	19473
636	34081	19421
637	34134	19368
638	34189	19315
639	34249	19265
640	34304	19212
641	34362	19161
642	34417	19108
643	34473	19056
644	34532	19006
645	34581	18950
646	34631	18894
647	34681	18839
648	34731	18784
649	34783	18729
650	34837	18676
651	34888	18621
652	34947	18570
653	35005	18519
654	35056	18465
655	35110	18411
656	35160	18356
657	35209	18300
658	35261	18246
659	35312	18191
660	35363	18136
661	35414	18081
662	35465	18026
663	35518	17973
664	35569	17918
665	35620	17863
666	35670	17808
667	35722	17754
668	35772	17699
669	35820	17642
670	35869	17587
671	35920	17532
672	35970	17477
673	36023	17423
674	36073	17368
675	36122	17313
676	36173	17258
677	36245	17213
678	36307	17164
679	36364	17112
680	36417	17058
681	36471	17005
682	36521	16950
683	36572	16896
684	36621	16840
685	36675	16787
686	36725	16732
687	36776	16677
688	36826	16622
689	36878	16568
690	36929	16513
691	36978	16458
692	37030	16404
693	37075	16347
694	37118	16289
695	37171	16235
696	37220	16180
697	37272	16126
698	37325	16072
699	37375	16018
700	37429	15964
701	37490	15914
702	37551	15864
703	37611	15813
704	37663	15759
705	37715	15705
706	37765	15651
707	37817	15596
708	37871	15543
709	37924	15490
710	37980	15438
711	38035	15384
712	38087	15331
713	38140	15277
714	38193	15224
715	38245	15169
716	38295	15115
717	38346	15060
718	38396	15006
719	38446	14951
720	38497	14897
721	38548	14842
722	38599	14788
723	38650	14734
724	38700	14679
725	38750	14624
726	38805	14572
727	38829	14507
728	38879	14453
729	38929	14398
730	38981	14344
731	39034	14291
732	39092	14239
733	39145	14186
734	39195	14131
735	39246	14077
736	39298	14023
737	39348	13969
738	39400	13915
739	39449	13860
740	39503	13807
741	39559	13755
742	39700	13732
743	39813	13699
744	39871	13647
745	39923	13593
746	39976	13539
747	40030	13486
748	40083	13432
749	40135	13378
750	40189	13325
751	40244	13272
752	40297	13218
753	40350	13164
754	40402	13110
755	40456	13057
756	40510	13003
757	40564	12950
758	40619	12897
759	40671	12843
760	40725	12790
761	40779	12736
762	40834	12683
763	40887	12630
764	40940	12576
765	40994	12523
766	41049	12470
767	41122	12422
768	41190	12373
769	41243	12319
770	41297	12265
771	41351	12212
772	41416	12162
773	41469	12108
774	41524	12055
775	41589	12005
776	41647	11952
777	41738	11909
778	41871	11878
779	41971	11838
780	42062	11794
781	42146	11749
782	42245	11707
783	42338	11664
784	42469	11631
785	42586	11594
786	42683	11552
787	42776	11508
788	42878	11466
789	42971	11422
790	43053	11375
791	43154	11333
792	43253	11290
793	43366	11251
794	43435	11200
795	43492	11146
796	43602	11105
797	43678	11056
798	43769	11010
799	43850	10962
800	43956	10920
801	44034	10871
802	44128	10826
803	44215	10778
804	44273	10724
805	44332	10670
806	44386	10615
807	44447	10561
808	44509	10508
809	44570	10454
810	44628	10400
811	44701	10349
812	44767	10297
813	44834	10244
814	44895	10191
815	44949	10135
816	45007	10081
817	45064	10026
818	45125	9972
819	45196	9921
820	45255	9866
821	45312	9812
822	45369	9757
823	45425	9702
824	45486	9648
825	45544	9594
826	45595	9538
827	45656	9484
828	45736	9434
829	45797	9380
830	45869	9328
831	45927	9273
832	45998	9221
833	46062	9168
834	46120	9113
835	46182	9059
836	46255	9007
837	46328	8956
838	46388	8901
839	46442	8846
840	46491	8789
841	46541	8733
842	46601	8679
843	46653	8623
844	46705	8567
845	46758	8511
846	46808	8455
847	46860	8399
848	46915	8344
849	46966	8288
850	47022	8233
851	47076	8177
852	47129	8121
853	47181	8066
854	47234	8010
855	47285	7954
856	47337	7898
857	47397	7844
858	47456	7789
859	47521	7736
860	47578	7681
861	47632	7625
862	47685	7570
863	47738	7514
864	47791	7458
865	47843	7402
866	47899	7347
867	47955	7292
868	48011	7237
869	48066	7182
870	48121	7127
871	48173	7071
872	48226	7015
873	48280	6960
874	48311	6901
875	48366	6846
876	48421	6791
877	48474	6735
878	48532	6680
879	48586	6625
880	48637	6569
881	48690	6514
882	48741	6458
883	48796	6403
884	48849	6347
885	48904	6292
886	48955	6236
887	49006	6181
888	49061	6125
889	49114	6070
890	49165	6014
891	49221	5959
892	49273	5903
893	49333	5849
894	49388	5794
895	49444	5739
896	49500	5684
897	49554	5628
898	49607	5573
899	49661	5517
900	49713	5462
901	49772	5407
902	49825	5352
903	49880	5297
904	49931	5241
905	49981	5185
906	50037	5130
907	50089	5075
908	50133	5018
909	50185	4963
910	50238	4908
911	50293	4852
912	50346	4797
913	50398	4742
914	50448	4686
915	50502	4631
916	50557	4576
917	50619	4521
918	50677	4466
919	50730	4411
920	50782	4355
921	50843	4301
922	50895	4245
923	50950	4190
924	51004	4135
925	51056	4080
926	51106	4024
927	51167	3969
928	51221	3914
929	51310	3862
930	51376	3807
931	51431	3752
932	51491	3697
933	51544	3642
934	51598	3587
935	51650	3531
936	51700	3476
937	51753	3420
938	51811	3365
939	51888	3312
940	51976	3258
941	52051	3204
942	52137	3151
943	52207	3097
944	52285	3043
945	52347	2988
946	52417	2933
947	52510	2880
